band,bandLabel,reclabel
Q128443,The Smithereens,Q1273666
Q159329,Fugees,Q7377914
Q158611,+44,Q231694
Q175097,3 Doors Down,Q38903
Q175097,3 Doors Down,Q4413456
Q175075,13 & God,Q575017
Q43259,No Doubt,Q231694
Q43259,No Doubt,Q4818262
Q43259,No Doubt,Q38903
Q520646,Truly,Q193023
Q521523,Me First and the Gimme Gimmes,Q605388
Q519725,Prince and the Revolution,Q2280168
Q523184,The Flaming Lips,Q843402
Q522463,Circle Jerks,Q726153
Q162586,Dream Theater,Q18628
Q162653,Seven Witches,Q702340
Q157497,Bloodhound Gang,Q183387
Q603579,Circa Survive,Q264980
Q603579,Circa Survive,Q942820
Q604695,Voodoo Glow Skulls,Q726153
Q603579,Circa Survive,Q2117925
Q603853,Luna Halo,Q2504576
Q603402,Dem Franchize Boyz,Q2482872
Q603343,We Are the Fallen,Q1025106
Q573067,The Gaslight Anthem,Q165745
Q573067,The Gaslight Anthem,Q190585
Q573017,Swans,Q183412
Q573017,Swans,Q203059
Q573017,Swans,Q240804
Q573017,Swans,Q264137
Q573017,Swans,Q510092
Q573017,Swans,Q753819
Q573017,Swans,Q1626081
Q573017,Swans,Q2161263
Q573017,Swans,Q2338889
Q573017,Swans,Q3394853
Q573017,Swans,Q3489789
Q573017,Swans,Q6061215
Q158599,Hed PE,Q27184
Q158599,Hed PE,Q2598277
Q158599,Hed PE,Q5573308
Q158599,Hed PE,Q25843695
Q45165,System of a Down,Q183387
Q45165,System of a Down,Q330629
Q45165,System of a Down,Q466649
Q134541,The Black Eyed Peas,Q231694
Q134541,The Black Eyed Peas,Q277626
Q45752,LCD Soundsystem,Q183387
Q45752,LCD Soundsystem,Q193023
Q45752,LCD Soundsystem,Q843402
Q45752,LCD Soundsystem,Q1153070
Q45359,James Chance and the Contortions,Q3100754
Q72349,Krewella,Q183387
Q68061,Cage the Elephant,Q27184
Q66413,Awolnation,Q1815691
Q71787,Widespread Panic,Q128280
Q71787,Widespread Panic,Q1984458
Q572821,Big Black,Q1853623
Q572821,Big Black,Q2906225
Q572821,Big Black,Q3453655
Q46644,Gogol Bordello,Q7376185
Q73521,There for Tomorrow,Q5322638
Q72608,Big Star,Q656752
Q72608,Big Star,Q1546001
Q72839,The Box Tops,Q4883239
Q80304,Korn,Q216364
Q80304,Korn,Q264137
Q80304,Korn,Q7250799
Q595862,God Forbid,Q158867
Q595862,God Forbid,Q1636558
Q594559,Skin Yard,Q2930498
Q594559,Skin Yard,Q5190314
Q595624,Junkyard,Q212699
Q594374,Dressy Bessy,Q1741782
Q595536,Dangerous Toys,Q183387
