genre,genreLabel
http://www.wikidata.org/entity/Q379671,post-grunge
http://www.wikidata.org/entity/Q379288,Kulning
http://www.wikidata.org/entity/Q378988,adult contemporary music
http://www.wikidata.org/entity/Q378495,Russian pop
http://www.wikidata.org/entity/Q379033,arena rock
http://www.wikidata.org/entity/Q1344,opera
http://www.wikidata.org/entity/Q3071,punk rock
http://www.wikidata.org/entity/Q3858,music of Israel
http://www.wikidata.org/entity/Q7749,rock and roll
http://www.wikidata.org/entity/Q829147,protest song
http://www.wikidata.org/entity/Q828305,Skate punk
http://www.wikidata.org/entity/Q828181,Rock Against Communism
http://www.wikidata.org/entity/Q828243,futurepop
http://www.wikidata.org/entity/Q616425,Pirekua
http://www.wikidata.org/entity/Q613874,Neoclassical new-age music
http://www.wikidata.org/entity/Q616679,mathcore
http://www.wikidata.org/entity/Q617240,stoner rock
http://www.wikidata.org/entity/Q601235,hip house
http://www.wikidata.org/entity/Q606089,skiffle
http://www.wikidata.org/entity/Q602646,comedy hip hop
http://www.wikidata.org/entity/Q602498,Nazi punk
http://www.wikidata.org/entity/Q602561,electro swing
http://www.wikidata.org/entity/Q854844,Bhangra
http://www.wikidata.org/entity/Q856872,rap metal
http://www.wikidata.org/entity/Q858579,big beat
http://www.wikidata.org/entity/Q860196,Bikutsi
http://www.wikidata.org/entity/Q8341,jazz
http://www.wikidata.org/entity/Q203720,rockabilly
http://www.wikidata.org/entity/Q848457,Speedcore
http://www.wikidata.org/entity/Q850412,contemporary R&B
http://www.wikidata.org/entity/Q848852,Eurobeat
http://www.wikidata.org/entity/Q9730,classical music
http://www.wikidata.org/entity/Q384064,African Gospel
http://www.wikidata.org/entity/Q383982,psychedelic pop
http://www.wikidata.org/entity/Q382343,Nortec
http://www.wikidata.org/entity/Q384181,Freestyle rap
http://www.wikidata.org/entity/Q383530,Afoxê
http://www.wikidata.org/entity/Q383615,street punk
http://www.wikidata.org/entity/Q639197,instrumental music
http://www.wikidata.org/entity/Q640097,electric blues
http://www.wikidata.org/entity/Q631621,bertsolaritza
http://www.wikidata.org/entity/Q630689,Bongo Flava
http://www.wikidata.org/entity/Q641357,avant-garde metal
http://www.wikidata.org/entity/Q642983,Manele
http://www.wikidata.org/entity/Q641318,Medieval folk rock
